Fecha;Mes;Codigo;Ciudad;Punto de Muestreo;IRCA (%)
13/08/2025;Agosto;MP539393;Aguachica;P2. Punto De Red;15,00%
4/08/2025;Agosto;MP537263;Armenia;P1. Entrada Epa;15,00%
4/08/2025;Agosto;MP537264;Armenia;P2. Punto De Red;0,00%
4/08/2025;Agosto;MP537266;Armenia;P4. Salida Agua Lluvia;15,00%
5/08/2025;Agosto;MP537268;Barranquilla;P1. Nacional;0,00%
5/08/2025;Agosto;MP537270;Barranquilla;P2. Internacio Nal;0,00%
5/08/2025;Agosto;MP537273;Barranquilla;P3. Subestacion Electrica;40,00%
5/08/2025;Agosto;MP537274;Barranquilla;P4. Tanque Calle 30- Agua Potable;15,00%
5/08/2025;Agosto;MP537246;Buenaventura;P2. Salida Agua Potable;40,00%
5/08/2025;Agosto;MP537247;Buenaventura;P3. Punto De Red;0,00%
20/08/2025;Agosto;MP540712;Guapi;P2. Salida Agua Potable;0,00%
20/08/2025;Agosto;MP540713;Guapi;P3. Punto De Red;40,00%
5/08/2025;Agosto;MP537243;Ipiales;P2. Salida Agua Potable;0,00%
5/08/2025;Agosto;MP537244;Ipiales;P3. Punto De Red;3,00%
13/08/2025;Agosto;MP539067;Pasto;P1. Entrada Agua Cruda;15,00%
13/08/2025;Agosto;MP539068;Pasto;P2. Salida Agua Potable;15,00%
13/08/2025;Agosto;MP539069;Pasto;P3. Punto De Red;0,00%
4/08/2025;Agosto;MP537282;Popayan;P1. Entrada Agua Cruda;15,00%
4/08/2025;Agosto;MP537284;Popayan;P2. Salida Agua Potable;0,00%
4/08/2025;Agosto;MP537285;Popayan;P3. Punto De Red;0,00%
18/08/2025;Agosto;MP540338;Providencia;P1.Entrada Agua Cruda;1,00%
18/08/2025;Agosto;MP540339;Providencia;P2.Salida Agua Potable;15,00%
18/08/2025;Agosto;MP540340;Providencia;P3.Punto De Red;15,00%
10/08/2025;Agosto;MP538342;Tolu;P2. Punto De Red;1,00%
4/08/2025;Agosto;MP537252;Tumaco;P2. Salida Agua Potable;0,00%
4/08/2025;Agosto;MP537254;Tumaco;P3. Punto De Red;0,00%
13/08/2025;Agosto;MP539392;Aguachica;P1. Entrada Agua Cruda;0,00%
4/08/2025;Agosto;MP537265;Armenia;P3. Entrada Agua Lluvia;50,60%
5/08/2025;Agosto;MP537245;Buenaventura;P1. Entrada Agua Cruda;47,10%
20/08/2025;Agosto;MP540711;Guapi;P1. Entrada Agua Cruda;75,30%
5/08/2025;Agosto;MP537242;Ipiales;P1. Entrada Agua Cruda;22,90%
10/08/2025;Agosto;MP538341;Tolu;P1. Entrada Agua Cruda;1,20%
4/08/2025;Agosto;MP537251;Tumaco;P1. Entrada Agua Cruda;44,10%
30/07/2025;Julio;MP536248;Aguachica;P2. Punto De Red;0,00%
1/07/2025;Julio;MP529038;Armenia;P1. Entra Epa;1,50%
1/07/2025;Julio;MP529042;Armenia;P2.Punto De Red;0,00%
1/07/2025;Julio;MP529047;Armenia;P3. Salida Agua Lluvia;15,00%
22/07/2025;Julio;MP534110;Barranquilla;P1. Nacional;0,00%
22/07/2025;Julio;MP534111;Barranquilla;P2. Internacional;0,00%
22/07/2025;Julio;MP534112;Barranquilla;P3. Subestacion Electrica;0,00%
22/07/2025;Julio;MP534113;Barranquilla;P4. Tanque Calle 30- Agua Potable;0,00%
1/07/2025;Julio;MP529020;Buenaventura;P2. Salida Agua Potable;0,00%
1/07/2025;Julio;MP529021;Buenaventura;P3. Punto De Red;0,00%
7/07/2025;Julio;MP530695;Guapi;P2. Salida Agua Potable;15,00%
7/07/2025;Julio;MP530697;Guapi;P3. Punto De Red;0,00%
1/07/2025;Julio;MP529050;Ipiales;P2. Salida Agua Potable;0,00%
1/07/2025;Julio;MP529051;Ipiales;P3. Punto De Red;0,00%
2/07/2025;Julio;MP529381;Pasto;P1. Entrada Agua Cruda;30,00%
2/07/2025;Julio;MP529384;Pasto;P2. Salida Agua Potable;3,00%
2/07/2025;Julio;MP529387;Pasto;P3. Punto De Red;3,00%
